Set Name,Cycle,Time(ms),Force(uN),Tip Displacement(um),Base Displacement(um),Current Size (um),Temperature (°C)
noise,1-Compress,0,9.11398,-0.22992,0,64.6299,36.9
noise,1-Hold,200,9.11398,-0.22992,0,64.6299,36.9
noise,1-Hold,400,9.11398,-0.22992,0,64.6299,36.9
noise,1-Hold,600,9.11398,-0.22992,0,64.6299,36.9
noise,1-Hold,800,9.11398,-0.22992,0,64.6299,36.9
noise,1-Hold,1000,-9.11398,0.22992,0,64.1701,36.9
noise,1-Hold,1200,9.11398,-0.22992,0,64.6299,36.9
noise,1-Hold,1400,9.11398,-0.22992,0,64.6299,36.9
noise,1-Hold,1600,-5.15001,0.22992,0.1,64.1701,36.9
noise,1-Hold,1800,-9.11398,0.22992,0,64.1701,36.9
noise,1-Hold,2000,9.11398,-0.22992,0,64.6299,36.9
noise,1-Hold,2200,-9.11398,0.22992,0,64.1701,36.9
noise,1-Hold,2400,6.07599,-0.15328,0,64.5533,36.9
noise,1-Hold,2600,9.11398,-0.22992,0,64.6299,36.9
noise,1-Hold,2800,9.11398,-0.22992,0,64.6299,36.9
noise,1-Hold,3000,-5.15001,0.22992,0.1,64.1701,36.9
noise,1-Hold,3200,-9.11398,0.22992,0,64.1701,36.9
noise,1-Hold,3400,9.11398,-0.22992,0,64.6299,36.9
noise,1-Hold,3600,-9.11398,0.22992,0,64.1701,36.9
noise,1-Hold,3800,9.11398,-0.22992,0,64.6299,36.9
noise,1-Hold,4000,9.11398,-0.22992,0,64.6299,36.9
noise,1-Hold,4200,9.11398,-0.22992,0,64.6299,36.9
noise,1-Hold,4400,9.11398,-0.22992,0,64.6299,36.9
noise,1-Hold,4600,-9.11398,0.22992,0,64.1701,36.9
noise,1-Hold,4800,-9.11398,0.22992,0,64.1701,36.9
noise,1-Hold,5000,-9.11398,0.22992,0,64.1701,36.9
noise,1-Hold,5200,-9.11398,0.22992,0,64.1701,36.9
noise,1-Hold,5400,9.11398,-0.22992,0,64.6299,36.9
noise,1-Hold,5600,-9.11398,0.22992,0,64.1701,36.9
noise,1-Hold,5800,-12.152,0.30656,0,64.0934,36.9
noise,1-Hold,6000,-9.11398,0.22992,0,64.1701,36.9
noise,1-Hold,6200,-9.11398,0.22992,0,64.1701,36.9
noise,1-Hold,6400,-12.152,0.30656,0,64.0934,36.9
noise,1-Hold,6600,-12.152,0.30656,0,64.0934,36.9
noise,1-Hold,6800,-12.152,0.30656,0,64.0934,36.9
noise,1-Hold,7000,-9.11398,0.22992,0,64.1701,36.9
noise,1-Hold,7200,9.11398,-0.22992,0,64.6299,36.9
noise,1-Hold,7400,-9.11398,0.22992,0,64.1701,36.9
noise,1-Hold,7600,-9.11398,0.22992,0,64.1701,36.9
noise,1-Hold,7800,-9.11398,0.22992,0,64.1701,36.9
noise,1-Hold,8000,9.11398,-0.22992,0,64.6299,36.9
noise,1-Hold,8200,9.11398,-0.22992,0,64.6299,36.9
noise,1-Hold,8400,9.11398,-0.22992,0,64.6299,36.9
noise,1-Hold,8600,-9.11398,0.22992,0,64.1701,36.9
noise,1-Hold,8800,-9.11398,0.22992,0,64.1701,36.9
noise,1-Hold,9000,9.11398,-0.22992,0,64.6299,36.9
noise,1-Hold,9200,-9.11398,0.22992,0,64.1701,36.9
noise,1-Hold,9400,-9.11398,0.22992,0,64.1701,36.9
noise,1-Hold,9600,-9.11398,0.22992,0,64.1701,36.9
noise,1-Hold,9800,-9.11398,0.22992,0,64.1701,36.9
noise,1-Hold,10000,-5.15001,0.22992,0.1,64.1701,36.9
noise,1-Hold,10200,9.11398,-0.22992,0,64.6299,36.9
noise,1-Hold,10400,9.11398,-0.22992,0,64.6299,36.9
noise,1-Hold,10600,-9.11398,0.22992,0,64.1701,36.9
noise,1-Hold,10800,-9.11398,0.22992,0,64.1701,36.9
noise,1-Hold,11000,-9.11398,0.22992,0,64.1701,36.9
noise,1-Hold,11200,13.078,-0.22992,0.1,64.6299,36.9
noise,1-Hold,11400,13.078,-0.22992,0.1,64.6299,36.9
noise,1-Hold,11600,9.11398,-0.22992,0,64.6299,36.9
noise,1-Hold,11800,9.11398,-0.22992,0,64.6299,36.9
noise,1-Hold,12000,9.11398,-0.22992,0,64.6299,36.9
noise,1-Hold,12200,9.11398,-0.22992,0,64.6299,36.9
noise,1-Hold,12400,9.11398,-0.22992,0,64.6299,36.9
noise,1-Hold,12600,9.11398,-0.22992,0,64.6299,36.9
noise,1-Hold,12800,9.11398,-0.22992,0,64.6299,36.9
noise,1-Hold,13000,-9.11398,0.22992,0,64.1701,36.9
noise,1-Hold,13200,9.11398,-0.22992,0,64.6299,36.9
noise,1-Hold,13400,12.152,-0.30656,0,64.7066,36.9
